ID_KEL;Nama_provinsi;nama_kota;nama_kecamatan;nama_kelurahan;SUSPEK;Perawatan RS;Isolasi di Rumah;Suspek Meninggal;Selesai Isolasi;PROBABLE;Perawatan RS;Isolasi di Rumah;Probable Meninggal;Selesai Isolasi;PELAKU PERJALANAN;Perawatan RS;Isolasi di Rumah;Selesai Isolasi;KONTAK ERAT;Perawatan RS;Isolasi di Rumah;Selesai Isolasi;DISCARDED;Isolasi di Rumah;Meninggal;Selesai Isolasi;POSITIF;Dirawat;Sembuh;Meninggal;Self Isolation;Keterangan
3174071010;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;CIPETE UTARA;3296;0;88;3;3205;4;0;0;0;4;25;0;2;23;2682;0;105;2577;16;0;0;16;1485;28;1405;28;24;
3175021003;DKI JAKARTA;JAKARTA TIMUR;PULO GADUNG;CIPINANG;2320;0;126;2;2192;30;7;0;1;22;29;0;2;27;4478;0;133;4345;74;0;0;74;1963;27;1842;51;43;
3175031007;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG BESAR SELATAN;1760;0;82;2;1676;19;2;0;0;17;26;0;2;24;2878;0;91;2787;61;0;0;61;1245;15;1177;23;30;
3175031008;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG BESAR UTARA;2131;0;115;0;2016;18;2;0;0;16;15;0;1;14;3204;0;68;3136;42;0;0;42;1448;9;1389;36;14;
3175031005;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG CEMPEDAK;1864;1;109;2;1752;23;1;0;0;22;42;0;0;42;3069;0;79;2990;46;0;0;46;1274;10;1209;32;23;
3175081005;DKI JAKARTA;JAKARTA TIMUR;MAKASAR;CIPINANG MELAYU;2585;0;131;2;2452;17;2;0;0;15;36;0;2;34;3955;0;110;3845;36;0;0;36;1880;22;1785;38;35;
3175031006;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;CIPINANG MUARA;3080;0;138;1;2941;58;4;0;0;54;62;0;7;55;5246;0;152;5094;67;0;0;67;2397;33;2284;45;35;
3174051003;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;CIPULIR;3364;2;143;4;3215;24;1;0;0;23;25;0;7;18;2253;0;87;2166;16;0;0;16;1382;45;1290;22;25;
3175091001;DKI JAKARTA;JAKARTA TIMUR;CIRACAS;CIRACAS;5489;0;131;9;5349;76;10;0;0;66;102;0;4;98;6838;0;252;6586;56;0;0;56;2636;31;2492;54;59;
3175041003;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;DUKUH;1802;0;80;1;1721;8;1;0;0;7;21;0;4;17;2966;0;89;2877;24;0;0;24;1081;9;1038;16;18;
